iterations,expected value,max steps,time
2,0.0,1,2.9918590000000003
4,0.0,1,1.4672157000000001
6,0.0,1,1.6636248000000002
8,0.0,1,2.4371411
10,0.0,1,1.7463114999999998
12,0.0,1,2.9577648000000005
